,ep_team_name,nhl_team_name,roster_team_x,roster_team_y
493,Herlev Eagles,,,
498,Telford Tigers,,,
502,Lehigh Valley Phantoms,,,
506,Wings HC Arlanda,,,
507,Syracuse Crunch,,,
509,Halton Hurricanes U16 AAA,,,
521,Topeka Roadrunners,,,
523,Parkland Rangers U18 AAA,,,
525,Hokej Vyškov,,,
526,Pétroliers du Nord,,,
529,Mississauga St. Michael's Majors,,,
530,Saint-Georges-de-Beauce CRS Express,,,
532,Sparta Sarpsborg,,,
534,Springfield Falcons,,,
535,OHK Dynamo Moskva,,,
540,Robert Morris Univ.,,,
542,EHC Biel-Bienne,,,
544,Lake Erie Monsters,,,
549,HC Davos,,,
550,Toronto Titans U18 AAA,,,
552,Streatham Redhawks,,,
553,Södertälje SK J18,,,
554,Vancouver NW Giants U18 AAA,,,
555,Niagara University,,,
556,Chilliwack Bruins,,,
558,Kulager Petropavlovsk,,,
559,HC La Chaux-de-Fonds,,,
563,Iowa Chops,,,
564,Sainte-Foy Dynamiques,,,
569,Mighty Dogs Schweinfurt,,,
572,St. Michael's College,,,
573,Brampton Battalion,,,
574,Minskie Zubry,,,
575,Moose Jaw Warriors,,,
579,ERV Schweinfurt,,,
581,Cleveland Barons 16U AAA,,,
582,Gillette Wild,,,
585,MHC Martin,,,
590,Omaha Lancers,,,
592,Mississauga Senators U16 AAA,,,
593,Springfield Thunderbirds,,,
596,HC Frýdek-Místek,,,
599,Bloomington Thunder,,,
601,MsHK Zilina U18,,,
602,Motor České Budějovice,,,
604,Elmira Jackals,,,
605,Retired,,,
611,Langley Rivermen,,,
619,Greater Kingston Front. U18 AAA,,,
620,Tri-City Americans,,,
621,CBHA Rangers U16 AAA,,,
622,GCK Lions U20,,,
626,EHC Basel Sharks,,,
631,Odessa Jackalopes,,,
635,Cedar Rapids Roughriders,,,
638,Shawinigan Cataractes,,,
640,Chaux-de-Fonds U20,,,
642,Chicago Wolves,,,
643,É. Sec. Cap-Jeunesse (JuvD1),,,
644,AZ Havirov U18,,,
651,Bridgeport Islanders,,,
652,Braehead Clan,,,
653,HC Baník Sokolov,,,
656,Sakhalin,,,
658,VIK Västerås HK,,,
659,EHC Olten,,,
663,London Jr. Knights Gold U16 AAA,,,
665,Spruce Grove Saints,,,
667,Gatineau Olympiques,,,
670,Peoria Rivermen,,,
671,Lindenwood Univ.,,,
673,Solent Devils,,,
675,Victoria Salmon Kings,,,
677,EV Füssen,,,
680,Háromszéki Ágyúsok,,,
681,Peterborough Petes U16 AAA,,,
682,Valley Jr. Warriors,,,
683,Rytíři Kladno,,,
689,Deggendorf Fire,,,
694,Saale Bulls Halle,,,
700,Tri-City Storm,,,
704,Montréal Juniors,,,
708,Nordsjælland Cobras,,,
709,Brampton Beast,,,
710,Fayetteville FireAntz,,,
714,Penticton Vees,,,
715,Bakersfield Condors,,,
721,Genève-Servette HC,,,
722,HC Vítkovice,,,
723,HC Saint-Imier-Sonceboz,,,
725,Manchester Monarchs,,,
727,Louisiana IceGators,,,
730,UNI Györi ETO HC,,,
731,EHC Basel,,,
735,Calgary Hitmen,,,
736,Alberni Valley Bulldogs,,,
