playerId,link,canon_name
8476289,https://www.eliteprospects.com/player/40249/alexei-marchenko,
8468561,https://www.eliteprospects.com/player/12452/alexander-kharitonov,
8467909,https://www.eliteprospects.com/player/8650/alexei-semyonov,
8476883,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,
8467469,https://www.eliteprospects.com/player/8925/al-rourke,
8470335,https://www.eliteprospects.com/player/10257/alex-brooks,
8468500,https://www.eliteprospects.com/player/8591/alexander-frolov,
8476435,https://www.eliteprospects.com/player/41925/alexander-khokhlachev,
8458529,https://www.eliteprospects.com/player/8670/alexei-kovalev,
8462054,https://www.eliteprospects.com/player/11044/alexei-morozov,
8471296,https://www.eliteprospects.com/player/9253/alexei-yemelin,
8481656,https://www.eliteprospects.com/player/517438/alexei-protas,
8480281,https://www.eliteprospects.com/player/312825/alexei-toropchenko,
8476388,https://www.eliteprospects.com/player/79402/andrei-pedan,
8473573,https://www.eliteprospects.com/player/9300/artyom-anisimov,
8467359,https://www.eliteprospects.com/player/9596/artyom-chubarov,
8482245,https://www.eliteprospects.com/player/182436/artyom-zub,
8466240,https://www.eliteprospects.com/player/11760/ben-simon,
8479984,https://www.eliteprospects.com/player/247895/cal-foote,
8458126,https://www.eliteprospects.com/player/25626/cam-stewart,
8481546,https://www.eliteprospects.com/player/290129/cam-york,
8478029,https://www.eliteprospects.com/player/116909/chase-deleo,
8471305,https://www.eliteprospects.com/player/11559/dan-lacosta,
8476982,https://www.eliteprospects.com/player/121936/danny-o-regan,
8467658,https://www.eliteprospects.com/player/41393/dan-snyder,
8471433,https://www.eliteprospects.com/player/14833/danny-taylor,
8459074,https://www.eliteprospects.com/player/1020/dan-trebil,
8462258,https://www.eliteprospects.com/player/8613/daniil-markov,
8467319,https://www.eliteprospects.com/player/13391/darrell-scoville,
8478495,https://www.eliteprospects.com/player/263964/denis-guryanov,
8462069,https://www.eliteprospects.com/player/69476/d.j.-smith,
8467397,https://www.eliteprospects.com/player/8634/dmitri-afanasenkov,
8475179,https://www.eliteprospects.com/player/11866/dmitri-kulikov,
8475200,https://www.eliteprospects.com/player/17758/dmitri-orlov,
8458636,https://www.eliteprospects.com/player/18636/dmitri-yushkevich,
8462062,https://www.eliteprospects.com/player/8953/don-maclean,
8475277,https://www.eliteprospects.com/player/11248/eddie-pasquale,
8480948,https://www.eliteprospects.com/player/77120/yegor-yakovlev,
8481102,https://www.eliteprospects.com/player/375742/yegor-sokolov,
8471215,https://www.eliteprospects.com/player/4231/yevgeni-malkin,
8460705,https://www.eliteprospects.com/player/8585/yevgeni-nabokov,
8474149,https://www.eliteprospects.com/player/11859/yevgeni-dadonov,
8469543,https://www.eliteprospects.com/player/8635/yevgeni-artyukhin,
8474634,https://www.eliteprospects.com/player/16752/yevgeni-grachyov,
8465165,https://www.eliteprospects.com/player/18742/yevgeni-korolyov,
8475744,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,
8478563,https://www.eliteprospects.com/player/16728/yevgeni-medvedev,
8478431,https://www.eliteprospects.com/player/168679/yevgeni-svechnikov,
8468055,https://www.eliteprospects.com/player/9559/fyodor-fyodorov,
8469492,https://www.eliteprospects.com/player/8691/fyodor-tyutin,
8460556,https://www.eliteprospects.com/player/727/fredrik-modin,
8479933,https://www.eliteprospects.com/player/151849/gerry-mayhew,
8469805,https://www.eliteprospects.com/player/10248/greg-jacina,
8465975,https://www.eliteprospects.com/player/10958/herberts-vasiljevs,
8458974,https://www.eliteprospects.com/player/18257/igor-korolyov,
8478048,https://www.eliteprospects.com/player/195577/igor-shestyorkin,
8477964,https://www.eliteprospects.com/player/108659/ivan-barbashyov,
8473582,https://www.eliteprospects.com/player/11890/ivan-vishnevsky,
8475234,https://www.eliteprospects.com/player/23458/jean-francois-berube,
8464957,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,
8478833,https://www.eliteprospects.com/player/204169/jean-christophe-beaudin,
8462211,https://www.eliteprospects.com/player/5521/jean-luc-grand-pierre,
8468745,https://www.eliteprospects.com/player/9123/j.p.-cote,
8479705,https://www.eliteprospects.com/player/213441/jeffrey-viel,
8478916,https://www.eliteprospects.com/player/248377/joey-daccord,
8467565,https://www.eliteprospects.com/player/10214/johnny-pohl,
8474730,https://www.eliteprospects.com/player/15713/jonas-holos,
8480007,https://www.eliteprospects.com/player/220099/jonas-rondbjerg,
8479315,https://www.eliteprospects.com/player/247964/joey-anderson,
8479970,https://www.eliteprospects.com/player/133839/joe-gambardella,
8480813,https://www.eliteprospects.com/player/271713/joe-veleno,
8477384,https://www.eliteprospects.com/player/82512/josh-brown,
8477959,https://www.eliteprospects.com/player/161290/josh-ho-sang,
8480064,https://www.eliteprospects.com/player/273954/josh-norris,
8468000,https://www.eliteprospects.com/player/8476/kaspars-astasenko,
8470637,https://www.eliteprospects.com/player/9657/konstantin-pushkaryov,
8478011,https://www.eliteprospects.com/player/177686/louie-belpedio,
8474195,https://www.eliteprospects.com/player/12466/maxim-mayorov,
8481557,https://www.eliteprospects.com/player/375501/matt-boldy,
8460582,https://www.eliteprospects.com/player/67427/matt-herr,
8480031,https://www.eliteprospects.com/player/201534/maxime-comtois,
8470171,https://www.eliteprospects.com/player/9511/maxime-talbot,
8469615,https://www.eliteprospects.com/player/9384/maxim-kondratyev,
8476509,https://www.eliteprospects.com/player/76323/max-lagace,
8478051,https://www.eliteprospects.com/player/300657/max-willman,
8479998,https://www.eliteprospects.com/player/201512/mikey-anderson,
8468615,https://www.eliteprospects.com/player/60843/mike-danton,
8467553,https://www.eliteprospects.com/player/69860/mike-farrell,
8476875,https://www.eliteprospects.com/player/76333/mike-matheson,
8475958,https://www.eliteprospects.com/player/23663/mike-sgarbossa,
8477816,https://www.eliteprospects.com/player/60363/mike-zalewski,
8467937,https://www.eliteprospects.com/player/9525/mike-zigomanis,
8479410,https://www.eliteprospects.com/player/312213/mikhail-sergachyov,
8474571,https://www.eliteprospects.com/player/5996/mikkel-bodker,
8477509,https://www.eliteprospects.com/player/95044/mirco-muller,
8468884,https://www.eliteprospects.com/player/9160/mitch-fritz,
8477491,https://www.eliteprospects.com/player/106161/nick-baptiste,
8479381,https://www.eliteprospects.com/player/252448/nick-caamano,
8478447,https://www.eliteprospects.com/player/107894/nick-merkley,
8468488,https://www.eliteprospects.com/player/10221/nikita-alexeyev,
8476866,https://www.eliteprospects.com/player/90347/nic-kerdiles,
8467353,https://www.eliteprospects.com/player/8657/nikolai-antropov,
8466320,https://www.eliteprospects.com/player/281/niklas-nordgren,Nicklas Nordgren (born 1979)
8473579,https://www.eliteprospects.com/player/9258/nikolai-kulyomin,
8476947,https://www.eliteprospects.com/player/93769/nikolai-prokhorkin,
8470597,https://www.eliteprospects.com/player/8620/nikolai-zherdev,
8460595,https://www.eliteprospects.com/player/75/nils-ekman,
8467373,https://www.eliteprospects.com/player/8981/norm-milley,
8448535,https://www.eliteprospects.com/player/8629/olaf-kolzig,
8462209,https://www.eliteprospects.com/player/694/per-johan-axelsson,
8469707,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,
8476219,https://www.eliteprospects.com/player/15071/pat-cannone,
8467444,https://www.eliteprospects.com/player/8991/pat-leahy,
8468491,https://www.eliteprospects.com/player/9561/pavel-vorobyov,
8464715,https://www.eliteprospects.com/player/51384/peteris-skudra,
8467425,https://www.eliteprospects.com/player/12245/pyotr-schastlivy,
8476858,https://www.eliteprospects.com/player/62746/phil-di-giuseppe,
8480800,https://www.eliteprospects.com/player/201671/quinn-hughes,
8445621,https://www.eliteprospects.com/player/19141/raymond-bourque,
8460689,https://www.eliteprospects.com/player/12229/ray-giroux,
8477642,https://www.eliteprospects.com/player/159029/rinat-valiyev,
8458628,https://www.eliteprospects.com/player/12676/rob-valicevic,
8481521,https://www.eliteprospects.com/player/284030/ronnie-attard,
8478104,https://www.eliteprospects.com/player/213830/sammy-blais,
8458544,https://www.eliteprospects.com/player/8690/sandis-ozolins,
8475683,https://www.eliteprospects.com/player/14590/sergei-bobrovski,
8458991,https://www.eliteprospects.com/player/42946/sergejs-zoltoks,
8468553,https://www.eliteprospects.com/player/12285/sergei-zinovyev,
8462096,https://www.eliteprospects.com/player/21002/sergei-gusev,
8478566,https://www.eliteprospects.com/player/43871/sergei-kalinin,
8460520,https://www.eliteprospects.com/player/6641/stanislav-neckar,
8475816,https://www.eliteprospects.com/player/24635/stanislav-galiyev,
8460482,https://www.eliteprospects.com/player/8290/steve-guolla,
