,season,postseason,team
630,2007-2008,Conference Final loss,Philadelphia Flyers
631,2006-2007,Did not make playoffs,Philadelphia Flyers
632,2005-2006,Conference QF loss,Philadelphia Flyers
633,2003-2004,Conference Final loss,Philadelphia Flyers
634,2002-2003,Conference SF loss,Philadelphia Flyers
635,2001-2002,Conference QF loss,Philadelphia Flyers
636,2000-2001,Conference QF loss,Philadelphia Flyers
637,1999-2000,Conference Final loss,Philadelphia Flyers
638,1998-1999,Conference QF loss,Philadelphia Flyers
639,1997-1998,Conference QF loss,Philadelphia Flyers
640,1996-1997,Final loss,Philadelphia Flyers
641,1995-1996,Conference SF loss,Philadelphia Flyers
643,2024-2025,Did not make playoffs,Pittsburgh Penguins
644,2023-2024,Did not make playoffs,Pittsburgh Penguins
645,2022-2023,Did not make playoffs,Pittsburgh Penguins
646,2021-2022,Conference QF loss,Pittsburgh Penguins
647,2020-2021,Conference QF loss,Pittsburgh Penguins
648,2019-2020,Playoffs Qualifier loss,Pittsburgh Penguins
649,2018-2019,Conference QF loss,Pittsburgh Penguins
650,2017-2018,Conference SF loss,Pittsburgh Penguins
651,2016-2017,Champion,Pittsburgh Penguins
652,2015-2016,Champion,Pittsburgh Penguins
653,2014-2015,Conference QF loss,Pittsburgh Penguins
654,2013-2014,Conference SF loss,Pittsburgh Penguins
655,2012-2013,Conference Final loss,Pittsburgh Penguins
656,2011-2012,Conference QF loss,Pittsburgh Penguins
657,2010-2011,Conference QF loss,Pittsburgh Penguins
658,2009-2010,Conference SF loss,Pittsburgh Penguins
659,2008-2009,Champion,Pittsburgh Penguins
660,2007-2008,Final loss,Pittsburgh Penguins
661,2006-2007,Conference QF loss,Pittsburgh Penguins
662,2005-2006,Did not make playoffs,Pittsburgh Penguins
663,2003-2004,Did not make playoffs,Pittsburgh Penguins
664,2002-2003,Did not make playoffs,Pittsburgh Penguins
665,2001-2002,Did not make playoffs,Pittsburgh Penguins
666,2000-2001,Conference Final loss,Pittsburgh Penguins
667,1999-2000,Conference SF loss,Pittsburgh Penguins
668,1998-1999,Conference SF loss,Pittsburgh Penguins
669,1997-1998,Conference QF loss,Pittsburgh Penguins
670,1996-1997,Conference QF loss,Pittsburgh Penguins
671,1995-1996,Conference Final loss,Pittsburgh Penguins
673,2024-2025,Did not make playoffs,San Jose Sharks
674,2023-2024,Did not make playoffs,San Jose Sharks
675,2022-2023,Did not make playoffs,San Jose Sharks
676,2021-2022,Did not make playoffs,San Jose Sharks
677,2020-2021,Did not make playoffs,San Jose Sharks
678,2019-2020,Did not make playoffs,San Jose Sharks
679,2018-2019,Conference Final loss,San Jose Sharks
680,2017-2018,Conference SF loss,San Jose Sharks
681,2016-2017,Conference QF loss,San Jose Sharks
682,2015-2016,Final loss,San Jose Sharks
683,2014-2015,Did not make playoffs,San Jose Sharks
684,2013-2014,Conference QF loss,San Jose Sharks
685,2012-2013,Conference SF loss,San Jose Sharks
686,2011-2012,Conference QF loss,San Jose Sharks
687,2010-2011,Conference Final loss,San Jose Sharks
688,2009-2010,Conference Final loss,San Jose Sharks
689,2008-2009,Conference QF loss,San Jose Sharks
690,2007-2008,Conference SF loss,San Jose Sharks
691,2006-2007,Conference SF loss,San Jose Sharks
692,2005-2006,Conference SF loss,San Jose Sharks
693,2003-2004,Conference Final loss,San Jose Sharks
694,2002-2003,Did not make playoffs,San Jose Sharks
695,2001-2002,Conference SF loss,San Jose Sharks
696,2000-2001,Conference QF loss,San Jose Sharks
697,1999-2000,Conference SF loss,San Jose Sharks
698,1998-1999,Conference QF loss,San Jose Sharks
699,1997-1998,Conference QF loss,San Jose Sharks
700,1996-1997,Did not make playoffs,San Jose Sharks
701,1995-1996,Did not make playoffs,San Jose Sharks
703,2024-2025,Did not make playoffs,Seattle Kraken
704,2023-2024,Did not make playoffs,Seattle Kraken
705,2022-2023,Conference SF loss,Seattle Kraken
706,2021-2022,Did not make playoffs,Seattle Kraken
708,2024-2025,Conference QF loss,St. Louis Blues
709,2023-2024,Did not make playoffs,St. Louis Blues
710,2022-2023,Did not make playoffs,St. Louis Blues
711,2021-2022,Conference SF loss,St. Louis Blues
712,2020-2021,Conference QF loss,St. Louis Blues
713,2019-2020,Conference QF loss,St. Louis Blues
714,2018-2019,Champion,St. Louis Blues
715,2017-2018,Did not make playoffs,St. Louis Blues
716,2016-2017,Conference SF loss,St. Louis Blues
717,2015-2016,Conference Final loss,St. Louis Blues
718,2014-2015,Conference QF loss,St. Louis Blues
719,2013-2014,Conference QF loss,St. Louis Blues
720,2012-2013,Conference QF loss,St. Louis Blues
721,2011-2012,Conference SF loss,St. Louis Blues
722,2010-2011,Did not make playoffs,St. Louis Blues
723,2009-2010,Did not make playoffs,St. Louis Blues
724,2008-2009,Conference QF loss,St. Louis Blues
725,2007-2008,Did not make playoffs,St. Louis Blues
726,2006-2007,Did not make playoffs,St. Louis Blues
727,2005-2006,Did not make playoffs,St. Louis Blues
728,2003-2004,Conference QF loss,St. Louis Blues
729,2002-2003,Conference QF loss,St. Louis Blues
730,2001-2002,Conference SF loss,St. Louis Blues
731,2000-2001,Conference Final loss,St. Louis Blues
732,1999-2000,Conference QF loss,St. Louis Blues
733,1998-1999,Conference SF loss,St. Louis Blues
734,1997-1998,Conference SF loss,St. Louis Blues
735,1996-1997,Conference QF loss,St. Louis Blues
736,1995-1996,Conference SF loss,St. Louis Blues
738,2024-2025,Conference QF loss,Tampa Bay Lightning
739,2023-2024,Conference QF loss,Tampa Bay Lightning
740,2022-2023,Conference QF loss,Tampa Bay Lightning
741,2021-2022,Final loss,Tampa Bay Lightning
742,2020-2021,Champion,Tampa Bay Lightning
743,2019-2020,Champion,Tampa Bay Lightning
744,2018-2019,Conference QF loss,Tampa Bay Lightning
745,2017-2018,Conference Final loss,Tampa Bay Lightning
746,2016-2017,Did not make playoffs,Tampa Bay Lightning
747,2015-2016,Conference Final loss,Tampa Bay Lightning
748,2014-2015,Final loss,Tampa Bay Lightning
749,2013-2014,Conference QF loss,Tampa Bay Lightning
750,2012-2013,Did not make playoffs,Tampa Bay Lightning
751,2011-2012,Did not make playoffs,Tampa Bay Lightning
752,2010-2011,Conference Final loss,Tampa Bay Lightning
753,2009-2010,Did not make playoffs,Tampa Bay Lightning
754,2008-2009,Did not make playoffs,Tampa Bay Lightning
755,2007-2008,Did not make playoffs,Tampa Bay Lightning
756,2006-2007,Conference QF loss,Tampa Bay Lightning
757,2005-2006,Conference QF loss,Tampa Bay Lightning
758,2003-2004,Champion,Tampa Bay Lightning
759,2002-2003,Conference SF loss,Tampa Bay Lightning
760,2001-2002,Did not make playoffs,Tampa Bay Lightning
761,2000-2001,Did not make playoffs,Tampa Bay Lightning
762,1999-2000,Did not make playoffs,Tampa Bay Lightning
763,1998-1999,Did not make playoffs,Tampa Bay Lightning
764,1997-1998,Did not make playoffs,Tampa Bay Lightning
765,1996-1997,Did not make playoffs,Tampa Bay Lightning
766,1995-1996,Conference QF loss,Tampa Bay Lightning
768,2024-2025,Conference SF loss,Toronto Maple Leafs
769,2023-2024,Conference QF loss,Toronto Maple Leafs
770,2022-2023,Conference SF loss,Toronto Maple Leafs
771,2021-2022,Conference QF loss,Toronto Maple Leafs
772,2020-2021,Conference QF loss,Toronto Maple Leafs
773,2019-2020,Playoffs Qualifier loss,Toronto Maple Leafs
774,2018-2019,Conference QF loss,Toronto Maple Leafs
775,2017-2018,Conference QF loss,Toronto Maple Leafs
776,2016-2017,Conference QF loss,Toronto Maple Leafs
777,2015-2016,Did not make playoffs,Toronto Maple Leafs
778,2014-2015,Did not make playoffs,Toronto Maple Leafs
779,2013-2014,Did not make playoffs,Toronto Maple Leafs
780,2012-2013,Conference QF loss,Toronto Maple Leafs
781,2011-2012,Did not make playoffs,Toronto Maple Leafs
782,2010-2011,Did not make playoffs,Toronto Maple Leafs
783,2009-2010,Did not make playoffs,Toronto Maple Leafs
784,2008-2009,Did not make playoffs,Toronto Maple Leafs
785,2007-2008,Did not make playoffs,Toronto Maple Leafs
786,2006-2007,Did not make playoffs,Toronto Maple Leafs
787,2005-2006,Did not make playoffs,Toronto Maple Leafs
788,2003-2004,Conference SF loss,Toronto Maple Leafs
789,2002-2003,Conference QF loss,Toronto Maple Leafs
790,2001-2002,Conference Final loss,Toronto Maple Leafs
791,2000-2001,Conference SF loss,Toronto Maple Leafs
792,1999-2000,Conference SF loss,Toronto Maple Leafs
793,1998-1999,Conference Final loss,Toronto Maple Leafs
794,1997-1998,Did not make playoffs,Toronto Maple Leafs
795,1996-1997,Did not make playoffs,Toronto Maple Leafs
796,1995-1996,Conference QF loss,Toronto Maple Leafs
798,2024-2025,Did not make playoffs,Vancouver Canucks
799,2023-2024,Conference SF loss,Vancouver Canucks
800,2022-2023,Did not make playoffs,Vancouver Canucks
801,2021-2022,Did not make playoffs,Vancouver Canucks
802,2020-2021,Did not make playoffs,Vancouver Canucks
803,2019-2020,Conference SF loss,Vancouver Canucks
804,2018-2019,Did not make playoffs,Vancouver Canucks
805,2017-2018,Did not make playoffs,Vancouver Canucks
806,2016-2017,Did not make playoffs,Vancouver Canucks
807,2015-2016,Did not make playoffs,Vancouver Canucks
808,2014-2015,Conference QF loss,Vancouver Canucks
809,2013-2014,Did not make playoffs,Vancouver Canucks
810,2012-2013,Conference QF loss,Vancouver Canucks
811,2011-2012,Conference QF loss,Vancouver Canucks
812,2010-2011,Final loss,Vancouver Canucks
813,2009-2010,Conference SF loss,Vancouver Canucks
814,2008-2009,Conference SF loss,Vancouver Canucks
815,2007-2008,Did not make playoffs,Vancouver Canucks
816,2006-2007,Conference SF loss,Vancouver Canucks
817,2005-2006,Did not make playoffs,Vancouver Canucks
818,2003-2004,Conference QF loss,Vancouver Canucks
819,2002-2003,Conference SF loss,Vancouver Canucks
820,2001-2002,Conference QF loss,Vancouver Canucks
821,2000-2001,Conference QF loss,Vancouver Canucks
822,1999-2000,Did not make playoffs,Vancouver Canucks
823,1998-1999,Did not make playoffs,Vancouver Canucks
824,1997-1998,Did not make playoffs,Vancouver Canucks
825,1996-1997,Did not make playoffs,Vancouver Canucks
826,1995-1996,Conference QF loss,Vancouver Canucks
828,2024-2025,Conference SF loss,Vegas Golden Knights
829,2023-2024,Conference QF loss,Vegas Golden Knights
830,2022-2023,Champion,Vegas Golden Knights
831,2021-2022,Did not make playoffs,Vegas Golden Knights
832,2020-2021,Conference Final loss,Vegas Golden Knights
833,2019-2020,Conference Final loss,Vegas Golden Knights
834,2018-2019,Conference QF loss,Vegas Golden Knights
835,2017-2018,Final loss,Vegas Golden Knights
837,2024-2025,Conference SF loss,Washington Capitals
838,2023-2024,Conference QF loss,Washington Capitals
839,2022-2023,Did not make playoffs,Washington Capitals
840,2021-2022,Conference QF loss,Washington Capitals
841,2020-2021,Conference QF loss,Washington Capitals
842,2019-2020,Conference QF loss,Washington Capitals
843,2018-2019,Conference QF loss,Washington Capitals
844,2017-2018,Champion,Washington Capitals
845,2016-2017,Conference SF loss,Washington Capitals
846,2015-2016,Conference SF loss,Washington Capitals
847,2014-2015,Conference SF loss,Washington Capitals
848,2013-2014,Did not make playoffs,Washington Capitals
849,2012-2013,Conference QF loss,Washington Capitals
850,2011-2012,Conference SF loss,Washington Capitals
851,2010-2011,Conference SF loss,Washington Capitals
852,2009-2010,Conference QF loss,Washington Capitals
853,2008-2009,Conference SF loss,Washington Capitals
854,2007-2008,Conference QF loss,Washington Capitals
855,2006-2007,Did not make playoffs,Washington Capitals
856,2005-2006,Did not make playoffs,Washington Capitals
857,2003-2004,Did not make playoffs,Washington Capitals
858,2002-2003,Conference QF loss,Washington Capitals
859,2001-2002,Did not make playoffs,Washington Capitals
860,2000-2001,Conference QF loss,Washington Capitals
861,1999-2000,Conference QF loss,Washington Capitals
862,1998-1999,Did not make playoffs,Washington Capitals
863,1997-1998,Final loss,Washington Capitals
864,1996-1997,Did not make playoffs,Washington Capitals
865,1995-1996,Conference QF loss,Washington Capitals
867,2024-2025,Conference SF loss,Winnipeg Jets
868,2023-2024,Conference QF loss,Winnipeg Jets
869,2022-2023,Conference QF loss,Winnipeg Jets
870,2021-2022,Did not make playoffs,Winnipeg Jets
871,2020-2021,Conference SF loss,Winnipeg Jets
872,2019-2020,Playoffs Qualifier loss,Winnipeg Jets
873,2018-2019,Conference QF loss,Winnipeg Jets
874,2017-2018,Conference Final loss,Winnipeg Jets
875,2016-2017,Did not make playoffs,Winnipeg Jets
876,2015-2016,Did not make playoffs,Winnipeg Jets
877,2014-2015,Conference QF loss,Winnipeg Jets
878,2013-2014,Did not make playoffs,Winnipeg Jets
879,2012-2013,Did not make playoffs,Winnipeg Jets
880,2011-2012,Did not make playoffs,Winnipeg Jets
882,2024-2025,Did not make playoffs,Utah Hockey Club
